Position,Team,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points
1,Liverpool,6,6,0,0,13,1,12,18
2,Barcelona,6,5,0,1,21,7,14,15
3,Arsenal,6,4,1,1,11,2,9,13
4,Bayer Leverkusen,6,4,1,1,12,5,7,13
5,Aston Villa,6,4,1,1,9,3,6,13
6,Inter Milan,6,4,1,1,7,1,6,13
7,Brest,6,4,1,1,10,6,4,13
8,Lille,6,4,1,1,10,7,3,13
9,Borussia Dortmund,6,4,0,2,18,9,9,12
10,Bayern Munich,6,4,0,2,17,8,9,12
11,Atletico Madrid,6,4,0,2,14,10,4,12
12,AC Milan,6,4,0,2,12,9,3,12
13,Atalanta,6,3,2,1,13,4,9,11
14,Juventus,6,3,2,1,9,5,4,11
15,Benfica,6,3,1,2,10,7,3,10
16,Monaco,6,3,1,2,12,10,2,10
17,Sporting Lisbon,6,3,1,2,11,9,2,10
18,Feyenoord,6,3,1,2,14,15,-1,10
19,Club Brugge,6,3,1,2,6,8,-2,10
20,Real Madrid,6,3,0,3,12,11,1,9
21,Celtic,6,2,3,1,10,10,0,9
22,Manchester City,6,2,2,2,13,9,4,8
23,PSV Eindhoven,6,2,2,2,10,8,2,8
24,Dinamo Zagreb,6,2,2,2,10,15,-5,8
25,Paris Saint-Germain,6,2,1,3,6,6,0,7
26,Stuttgart,6,2,1,3,9,12,-3,7
27,Shakhtar Donetsk,6,1,1,4,5,13,-8,4
28,Sparta Prague,6,1,1,4,7,18,-11,4
29,Sturm Graz,6,1,0,5,4,9,-5,3
30,Girona,6,1,0,5,4,10,-6,3
31,Crvena Zvezda,6,1,0,5,10,19,-9,3
32,Red Bull Salzburg,6,1,0,5,3,18,-15,3
33,Bologna,6,0,2,4,1,7,-6,2
34,RB Leipzig,6,0,0,6,6,13,-7,0
35,SK Slovan Bratislava,6,0,0,6,5,21,-16,0
36,BSC Young Boys Bern,6,0,0,6,3,22,-19,0