Position,Team,Played,Won,Drawn,Lost,Goals_For,Goals_Against,Goal_Difference,Points,Win_Rate,Draw_Rate,Loss_Rate,Opponent_1,Opponent_2,Opponent_Strength,Goals_For_Per_Game,Goals_Against_Per_Game,Points_Per_Game,Goal_Efficiency,Goal_Difference_Per_Game,Max_Points
1,Liverpool,6,6,0,0,13,1,12,18,1,0,0,Lille,PSV Eindhoven,4.1,2.166666667,0.166666667,3,0.928571429,2,24
2,Barcelona,6,5,0,1,21,7,14,15,0.833,0,0.167,Benfica,Atalanta,5.15,3.5,1.166666667,2.5,0.75,2.333333333,21
3,Arsenal,6,4,1,1,11,2,9,13,0.667,0.167,0.167,Dinamo Zagreb,Girona,0.1,1.833333333,0.333333333,2.166666667,0.846153846,1.5,19
4,Bayer Leverkusen,6,4,1,1,12,5,7,13,0.667,0.167,0.167,Atletico Madrid,Sparta Prague,1.5168,2,0.833333333,2.166666667,0.705882353,1.166666667,19
5,Aston Villa,6,4,1,1,9,3,6,13,0.667,0.167,0.167,Monaco,Celtic,3.3166,1.5,0.5,2.166666667,0.75,1,19
6,Inter Milan,6,4,1,1,7,1,6,13,0.667,0.167,0.167,Sparta Prague,Monaco,0.8834,1.166666667,0.166666667,2.166666667,0.875,1,19
7,Brest,6,4,1,1,10,6,4,13,0.667,0.167,0.167,Shakhtar Donetsk,Real Madrid,1.0334,1.666666667,1,2.166666667,0.625,0.666666667,19
8,Lille,6,4,1,1,10,7,3,13,0.667,0.167,0.167,Liverpool,Feyenoord,6.15,1.666666667,1.166666667,2.166666667,0.588235294,0.5,19
9,Borussia Dortmund,6,4,0,2,18,9,9,12,0.667,0,0.333,Bologna,Shakhtar Donetsk,-1.1666,3,1.5,2,0.666666667,1.5,18
10,Bayern Munich,6,4,0,2,17,8,9,12,0.667,0,0.333,Feyenoord,SK Slovan Bratislava,-0.95,2.833333333,1.333333333,2,0.68,1.5,18
11,Atletico Madrid,6,4,0,2,14,10,4,12,0.667,0,0.333,Bayer Leverkusen,Red Bull Salzburg,1.3668,2.333333333,1.666666667,2,0.583333333,0.666666667,18
12,AC Milan,6,4,0,2,12,9,3,12,0.667,0,0.333,Girona,Dinamo Zagreb,0.1,2,1.5,2,0.571428571,0.5,18
13,Atalanta,6,3,2,1,13,4,9,11,0.5,0.333,0.167,Sturm Graz,Barcelona,4.25,2.166666667,0.666666667,1.833333333,0.764705882,1.5,17
14,Juventus,6,3,2,1,9,5,4,11,0.5,0.333,0.167,Club Brugge,Benfica,3.35,1.5,0.833333333,1.833333333,0.642857143,0.666666667,17
15,Benfica,6,3,1,2,10,7,3,10,0.5,0.167,0.333,Barcelona,Juventus,6.8666,1.666666667,1.166666667,1.666666667,0.588235294,0.5,16
16,Monaco,6,3,1,2,12,10,2,10,0.5,0.167,0.333,Aston Villa,Inter Milan,5.9668,2,1.666666667,1.666666667,0.545454545,0.333333333,16
17,Sporting Lisbon,6,3,1,2,11,9,2,10,0.5,0.167,0.333,RB Leipzig,Bologna,-1.65,1.833333333,1.5,1.666666667,0.55,0.333333333,16
18,Feyenoord,6,3,1,2,14,15,-1,10,0.5,0.167,0.333,Bayern Munich,Lille,5.8168,2.333333333,2.5,1.666666667,0.482758621,-0.166666667,16
19,Club Brugge,6,3,1,2,6,8,-2,10,0.5,0.167,0.333,Juventus,Manchester City,4.2166,1,1.333333333,1.666666667,0.428571429,-0.333333333,16
20,Real Madrid,6,3,0,3,12,11,1,9,0.5,0,0.5,Red Bull Salzburg,Brest,0.9168,2,1.833333333,1.5,0.52173913,0.166666667,15
21,Celtic,6,2,3,1,10,10,0,9,0.333,0.5,0.167,BSC Young Boys Bern,Aston Villa,0.1334,1.666666667,1.666666667,1.5,0.5,0,15
22,Manchester City,6,2,2,2,13,9,4,8,0.333,0.333,0.333,Paris Saint-Germain,Club Brugge,2.4166,2.166666667,1.5,1.333333333,0.590909091,0.666666667,14
23,PSV Eindhoven,6,2,2,2,10,8,2,8,0.333,0.333,0.333,Crvena Zvezda,Liverpool,3.8334,1.666666667,1.333333333,1.333333333,0.555555556,0.333333333,14
24,Dinamo Zagreb,6,2,2,2,10,15,-5,8,0.333,0.333,0.333,Arsenal,AC Milan,5.8168,1.666666667,2.5,1.333333333,0.4,-0.833333333,14
25,Paris Saint-Germain,6,2,1,3,6,6,0,7,0.333,0.167,0.5,Manchester City,Stuttgart,2.5332,1,1,1.166666667,0.5,0,13
26,Stuttgart,6,2,1,3,9,12,-3,7,0.333,0.167,0.5,SK Slovan Bratislava,Paris Saint-Germain,-1.2834,1.5,2,1.166666667,0.428571429,-0.5,13
27,Shakhtar Donetsk,6,1,1,4,5,13,-8,4,0.167,0.167,0.667,Brest,Borussia Dortmund,5.9668,0.833333333,2.166666667,0.666666667,0.277777778,-1.333333333,10
28,Sparta Prague,6,1,1,4,7,18,-11,4,0.167,0.167,0.667,Inter Milan,Bayer Leverkusen,6.1168,1.166666667,3,0.666666667,0.28,-1.833333333,10
29,Sturm Graz,6,1,0,5,4,9,-5,3,0.167,0,0.833,Atalanta,RB Leipzig,2.05,0.666666667,1.5,0.5,0.307692308,-0.833333333,9
30,Girona,6,1,0,5,4,10,-6,3,0.167,0,0.833,AC Milan,Arsenal,5.8168,0.666666667,1.666666667,0.5,0.285714286,-1,9
31,Crvena Zvezda,6,1,0,5,10,19,-9,3,0.167,0,0.833,PSV Eindhoven,BSC Young Boys Bern,-1.2834,1.666666667,3.166666667,0.5,0.344827586,-1.5,9
32,Red Bull Salzburg,6,1,0,5,3,18,-15,3,0.167,0,0.833,Real Madrid,Atletico Madrid,4.1334,0.5,3,0.5,0.142857143,-2.5,9
33,Bologna,6,0,2,4,1,7,-6,2,0,0.333,0.667,Borussia Dortmund,Sporting Lisbon,5.1834,0.166666667,1.166666667,0.333333333,0.125,-1,8
34,RB Leipzig,6,0,0,6,6,13,-7,0,0,0,1,Sporting Lisbon,Sturm Graz,1.6334,1,2.166666667,0,0.315789474,-1.166666667,6
35,SK Slovan Bratislava,6,0,0,6,5,21,-16,0,0,0,1,Stuttgart,Bayern Munich,3.95,0.833333333,3.5,0,0.192307692,-2.666666667,6
36,BSC Young Boys Bern,6,0,0,6,3,22,-19,0,0,0,1,Celtic,Crvena Zvezda,0.55,0.5,3.666666667,0,0.12,-3.166666667,6
